"","Peso.Ave.S1","Peso.Ave.S4","Peso.Ave.S10","Peso.Ave.S14","X..Uniformidad.S1","X..Uniformidad.S4","X..Uniformidad.S10","X..Uniformidad.S14","gr.ave.dia..S1","gr.ave.dia..S4","gr.ave.dia..S10","gr.ave.dia..S14","Cosm.Acum.S1","Cosm.Acum.S4","Cosm.Acum.S10","Cosm.Acum.S14","Mort.Selc.Acum.S1","Mort.Selc.Acum.S4","Mort.Selc.Acum.S10","Mort.Selc.Acum.S14","Fecha.Encaseta","Sistema.Levante","Clima.Levante","PX.S25","PX.S40","PX.S72","PX.S80","HAA.S25","HAA.S40","HAA.S72","HAA.S80","gr.ave.dia..S25","gr.ave.dia..S40","gr.ave.dia..S72","gr.ave.dia..S80","Conv.Acu.S72","Conv.Acu.S80","Mort.selcc.Acu..S25","Mort.selcc.Acu..S40","Mort.selcc.Acu..S72","Mort.selcc.Acu..S80","gr.Hvo.S72","gr.Hvo.S80","G.P.S25","Peso.Hvo..Prom.Acu..S25","Peso.Hvo..Prom.Acu..S40","Peso.Hvo..Prom.Acu..S72","Peso.Hvo..Prom.Acu..S80","Masa.Hvo.S72","Masa.Hvo.S80","Sistema.Produccion","Clima.Produccion"
"PMT-43-160719",88,327,896,1258,88.6,85,75.1,80,11.9,30.7,44.9,64.8,83.4,559.4,2104.6,3703.2,0.27,0.58,1.75,2,"2019-12-10","Jaula Tradicional","Cálido",76.1,89.6,78.1,73.1,27.6,109.2,274.1,310.3,105,83,114,110,1.6,1.614,6.83,10.49,14.88,15.73,133.333,134.5,11.8,49.1,54.2,60,60.8,16.4,18.9,"Jaula Tradicional","Cálido"
"PMT-44-101219",89,348,854,1233,95.7,83.1,79.2,91.2,16,28.6,61,78.7,111.9,618.2,2525,4625.7,NA,0.12,0.27,0.39,"2019-04-30","Jaula Tradicional","Cálido",77.4,91.6,NA,NA,24.9,117.1,NA,NA,110,112,NA,NA,NA,NA,1.46,4.08,NA,NA,NA,NA,13.5,50.1,54.3,0,0,NA,NA,"Jaula Tradicional","Cálido"
"SGG-13-300419",85,311,837,1234,95.4,77.8,78.4,75.8,10.3,26.7,56.9,46.5,72.2,540.2,2456.7,4437.3,0.33,0.56,1.11,1.14,"2019-09-13","Piso","Frío",95.6,93.1,88.6,NA,29.9,127.8,327.5,NA,115,114,113,NA,1.556,NA,0.09,0.74,5.03,NA,129.667,NA,25.8,52.6,57.8,61,0,20,NA,"Jaula Tradicional","Frío"
"SGG-15-130919",76,274,822,1132,92.1,76.9,87.2,86,11.2,26.9,63.7,75.6,78.6,536.2,2493.5,5245.9,0.29,0.32,0.58,0.87,"2020-01-24","Piso","Frío",95.5,96.6,NA,NA,25.3,126.1,NA,NA,112,115,NA,NA,NA,NA,0.13,1.48,NA,NA,NA,NA,24.3,51.2,56.9,0,0,NA,NA,"Jaula Tradicional","Frío"
"SM-48-160617",85,282,915,1268,85.7,81.1,79.7,78.4,13.3,28.6,61.6,65.1,93.2,611.2,2602.8,4534,0.13,0.34,0.68,1.07,"2017-10-20","Batería Automática","Frío",97.5,95.1,83.1,78.6,37.3,138.4,334.8,378.9,110,108,106,107,1.457,1.471,0.34,0.83,2.4,3.36,121.417,122.583,13.2,55.6,60.4,62.8,63.2,21,23.9,"Batería Automática","Frío"
"SM-49-201017",86,349,981,1278,88.2,76.2,76.4,83.2,15.7,44,73.6,74.1,109.7,765.5,2899.8,4949.3,0.22,0.48,1.01,1.36,"2018-02-23","Batería Automática","Frío",93.3,93.7,77,74.9,32,129,310,349.5,109,107,106,106,1.529,1.546,0.91,1.8,7.26,9.22,127.417,128.833,16,54.8,59.6,62.4,62.8,19.3,22,"Batería Automática","Frío"
"SM-50-230218",85,293,963,1304,80.7,71.1,78,84,15.5,36.5,64.2,75.1,108.5,720.2,2863,4878.5,0.33,0.58,1.12,1.45,"2018-06-29","Batería Automática","Frío",96.9,91,77.6,83.8,39.7,138,318.4,355.3,111,113,103,129,1.545,1.566,0.47,1.28,5.25,7.17,128.75,130.5,1.3,55.5,60.3,62.6,0,19.9,0,"Batería Automática","Frío"
"SM-51-290618",85,310,969,1308,87.1,69.9,67.1,81.1,12.6,36.8,66.1,68.8,88.2,696.9,2854.8,4723.1,0.18,0.34,0.6,0.76,"2018-11-02","Jaula Tradicional","Frío",95.8,93.9,81.8,76.3,35.1,126,312.7,353.5,104,107,109,108,1.507,1.522,0.61,2.4,6.08,8.08,125.583,126.833,12.7,55.1,60,62.8,63.2,19.6,22.3,"Batería Automática","Frío"
"SM-52-021118",86,306,918,1295,85.7,66.6,83.3,78.1,14.2,41.9,65.4,70.4,99.5,753.7,2832.4,4808.2,0.21,0.48,0.92,1.12,"2019-03-08","Batería Automática","Frío",95.7,93.6,81.2,79.2,31.2,129.8,319.9,362.6,108,112,106,106,1.496,1.507,0.66,1.29,4.58,6.28,124.667,125.583,18,54.6,59.8,62.3,62.7,19.9,22.7,"Batería Automática","Frío"
"SM-53-080319",83,293,936,1236,80.1,77.6,NA,74.6,22.5,38,63,68.7,157.7,794.4,2633.1,5396.6,0.31,0.64,1.1,1.52,"2019-07-12","Batería Automática","Frío",95.2,94,86,64,39,138.5,333.2,375.9,103,105,106,92,1.422,1.438,0.36,0.83,3.32,4.7,118.5,119.833,4.5,51.7,56.7,59.6,60.2,19.9,22.6,"Batería Automática","Frío"
